id,diff_act,as_score,n_watchers,avg_activity_in_days,avg_age_in_days,binned_ip_reported
1209021,1.0,0.02857504566581665,0.0,0.105,0.10344827586206896,1
1209110,1.0,0.039607183549454715,0.0,0.105,0.10344827586206896,1
1209111,1.0,3.585987376340585,0.0,0.0625,0.061576354679802964,0
1209128,1.0,0.012478975638869296,0.0,0.105,0.10344827586206896,1
1209133,1.0,0.22697267285189807,0.0,0.0875,0.08620689655172414,1
1209163,0.9721669980119284,0.7905159785144593,0.004,0.60875,0.6169950738916256,1
1209193,1.0,0.00831931709257953,0.0,0.105,0.10344827586206896,1
1209253,1.0,0.5465429620385944,0.0,0.06999999999999999,0.06896551724137931,1
1209321,1.0,0.008138462373175628,0.0,0.105,0.10344827586206896,1
1209336,1.0,0.022064275767276147,0.0,0.105,0.10344827586206896,1
1209349,1.0,1.8897509630513807,0.0,0.0875,0.08620689655172414,1
1209362,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
1209383,1.0,0.25211147884904056,0.0,0.105,0.10344827586206896,1
1209396,1.0,0.16114155498887742,0.0,0.105,0.10344827586206896,1
1209409,1.0,0.16114155498887742,0.0,0.105,0.10344827586206896,1
1209415,1.0,0.22697267285189807,0.0,0.105,0.10344827586206896,1
1209536,0.9459459459459459,0.13889642450219739,0.0,0.9600000000000001,1.0,1
1209538,1.0,0.0014468377552312227,0.0,0.105,0.10344827586206896,1
1209547,1.0,0.25211147884904056,0.0,0.105,0.10344827586206896,1
1209559,1.0,0.031107011737471286,0.0,0.105,0.10344827586206896,1
1209563,1.0,0.16114155498887742,0.0,0.105,0.10344827586206896,1
1209569,0.975,0.07505470855261967,0.0,0.5825,0.5886699507389163,1
1209591,1.0,0.0045213679850975705,0.0,0.105,0.10344827586206896,1
1209600,0.975,0.003074530229866348,0.0,0.5825,0.5886699507389163,1
1209774,1.0,0.04250085905991716,0.0,0.1125,0.11083743842364532,1
1209775,1.0,0.22932378420414878,0.0,0.105,0.10344827586206896,1
1209778,1.0,0.016819488904562963,0.0,0.105,0.10344827586206896,1
1209784,1.0,0.22932378420414878,0.0,0.105,0.10344827586206896,1
1209799,1.0,0.25211147884904056,0.0,0.105,0.10344827586206896,1
1209813,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
1209942,1.0,0.02911760982402836,0.0,0.105,0.10344827586206896,1
1209949,1.0,0.11683214873492123,0.0,0.105,0.10344827586206896,1
1209997,1.0,0.012478975638869296,0.0,0.105,0.10344827586206896,1
1210117,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
1210126,0.975,0.07505470855261967,0.0,0.5825,0.5886699507389163,1
1210130,0.975,0.26187763369685135,0.0,0.5825,0.5886699507389163,1
1210168,1.0,0.052628723346535726,0.0,0.105,0.10344827586206896,1
1210170,1.0,0.25211147884904056,0.0,0.105,0.10344827586206896,1
1210173,1.0,0.004340513265693668,0.0,0.105,0.10344827586206896,1
1210183,1.0,0.16114155498887742,0.0,0.105,0.10344827586206896,1
1210187,0.9620253164556962,0.39625269021395115,0.0,0.1875,0.19211822660098524,1
1210342,1.0,0.005425641582117085,0.0,0.105,0.10344827586206896,1
1210357,1.0,3.4031432550232394,0.0,0.105,0.10344827586206896,0
1210371,0.9840848806366048,0.4823395366502089,0.004,0.46125,0.4618226600985222,1
1210377,1.0,0.14450292080371838,0.0,0.105,0.10344827586206896,1
1210382,1.0,0.005425641582117085,0.0,0.105,0.10344827586206896,1
1210385,1.0,0.036170943880780564,0.004,0.13125,0.12931034482758622,1
1210387,1.0,0.0050639321433092795,0.016,0.1045,0.10295566502463054,1
1210554,1.0,0.013925813394100518,0.0,0.105,0.10344827586206896,1
1210572,1.0,0.0034362396686741536,0.0,0.34,0.33497536945812806,1
1210573,1.0,0.39498670717812384,0.0,0.34,0.33497536945812806,1
1210579,1.0,0.0025319660716546393,0.0,0.105,0.10344827586206896,1
1210592,0.9915254237288136,3.1072649340784544,0.004,0.29,0.2881773399014778,1
1210598,1.0,0.034181541967337636,0.0,0.34,0.33497536945812806,1
1210608,1.0,0.22697267285189807,0.0,0.105,0.10344827586206896,1
1210612,0.965,0.001085128316423417,0.0,0.9625,0.9827586206896551,1
1210672,0.975,0.09096992386016313,0.0,0.5825,0.5886699507389163,1
1210686,1.0,0.0036170943880780566,0.0,0.0625,0.061576354679802964,1
1210688,1.0,0.10200206174380119,0.0,0.105,0.10344827586206896,1
1210713,1.0,0.16114155498887742,0.0,0.105,0.10344827586206896,1
1210827,1.0,0.036170943880780564,0.0,0.105,0.10344827586206896,1
1210830,1.0,0.03327726837031812,0.0,0.105,0.10344827586206896,1
1210837,0.9807073954983923,7.214294757021684,0.0,0.7600000000000001,0.7635467980295566,2
1210845,1.0,0.08825710306910459,0.0,0.105,0.10344827586206896,1
1210902,1.0,1.157470204184978,0.0,0.19,0.18719211822660098,1
1210958,1.0,0.010489573725426365,0.0,0.105,0.10344827586206896,1
1210966,1.0,3.585987376340585,0.0,0.08,0.07881773399014778,0
1210976,1.0,0.03056444757925958,0.0,0.105,0.10344827586206896,1
1211073,0.975,0.0,0.0,0.5825,0.5886699507389163,1
1211084,1.0,0.007957607653771726,0.0,0.105,0.10344827586206896,1
1211088,1.0,0.0028936755104624454,0.0,0.105,0.10344827586206896,1
1211098,1.0,0.22697267285189807,0.0,0.105,0.10344827586206896,1
1211286,0.975,0.08590599171685384,0.0,0.5825,0.5886699507389163,1
1211412,0.9519230769230769,0.026585643752373718,0.0,0.245,0.2536945812807882,1
1211419,1.0,0.22932378420414878,0.0,0.105,0.10344827586206896,1
1211569,0.975,0.4823395366502089,0.0,0.5825,0.5886699507389163,1
1211633,0.975,0.004340513265693668,0.0,0.5825,0.5886699507389163,1
